Table,Peril,Country,Model
eqadcr,eq,ad,0
eqadcy,eq,ad,0
eqadpc,eq,ad,0
eqadvrg_geoid,eq,ad,0
eqadvrgliq,eq,ad,0
eqadvrgsoil,eq,ad,0
eqarcr,eq,ar,0
eqardt,eq,ar,0
eqarst,eq,ar,0
eqarvrg_geoid,eq,ar,0
eqarvrgliq,eq,ar,0
eqarvrgsoil,eq,ar,0
eqatcr,eq,at,0
eqatcy,eq,at,0
eqatpc,eq,at,0
eqatst,eq,at,0
eqatvrg_geoid,eq,at,0
eqatvrgliq,eq,at,0
eqatvrgsoil,eq,at,0
eqaucr,eq,au,0
eqaupc,eq,au,0
eqauvrg_geoid,eq,au,0
eqauvrgliq,eq,au,0
eqauvrgsoil,eq,au,0
eqauvrgsoilperiod,eq,au,0
eqbecr,eq,be,0
eqbepc,eq,be,0
eqbest,eq,be,0
eqbevrg_geoid,eq,be,0
eqbevrgliq,eq,be,0
eqbevrgsoil,eq,be,0
eqbgcr,eq,bg,0
eqbgcy,eq,bg,0
eqbgpc,eq,bg,0
eqbgst,eq,bg,0
eqbgvrg_geoid,eq,bg,0
eqbgvrgliq,eq,bg,0
eqbgvrgsoil,eq,bg,0
eqbocr,eq,bo,0
eqbodt,eq,bo,0
eqbost,eq,bo,0
eqbovrg_geoid,eq,bo,0
eqbovrgliq,eq,bo,0
eqbovrgsoil,eq,bo,0
eqbrcr,eq,br,0
eqbrdt,eq,br,0
eqbrst,eq,br,0
eqbrvrg_geoid,eq,br,0
eqbrvrgliq,eq,br,0
eqbrvrgsoil,eq,br,0
eqbzcr,eq,bz,0
eqbzdt,eq,bz,0
eqbzst,eq,bz,0
eqbzvrg_geoid,eq,bz,0
eqbzvrgliq,eq,bz,0
eqbzvrgsoil,eq,bz,0
eqcacr,eq,ca,NAEQ
eqcalc,eq,ca,NAEQ
eqcavrg_geoid,eq,ca,NAEQ
eqcavrgfire,eq,ca,NAEQ
eqcavrgland,eq,ca,NAEQ
eqcavrgliq,eq,ca,NAEQ
eqcavrgsec,eq,ca,NAEQ
eqcavrgsoil,eq,ca,NAEQ
eqcavrgsoilperiod,eq,ca,NAEQ
eqcbcr,eq,cb,0
eqcbct,eq,cb,0
eqcbcy,eq,cb,0
eqcbdt,eq,cb,0
eqcbpc,eq,cb,0
eqchcr,eq,ch,0
eqchcy,eq,ch,0
eqchpc,eq,ch,0
eqchst,eq,ch,0
eqchvrg_geoid,eq,ch,0
eqchvrgland,eq,ch,0
eqchvrgliq,eq,ch,0
eqchvrgsoil,eq,ch,0
eqclcr,eq,cl,0
eqclcy,eq,cl,0
eqcldt,eq,cl,0
eqclvrg_geoid,eq,cl,0
eqclvrgliq,eq,cl,0
eqclvrgsoil,eq,cl,0
eqcncr,eq,cn,0
eqcncy,eq,cn,0
eqcndt,eq,cn,0
eqcnst,eq,cn,0
eqcnvrg_geoid,eq,cn,0
eqcnvrgliq,eq,cn,0
eqcnvrgsoil,eq,cn,0
eqcocr,eq,co,0
eqcocy,eq,co,0
eqcodt,eq,co,0
eqcost,eq,co,0
eqcovrg_geoid,eq,co,0
eqcovrgliq,eq,co,0
eqcovrgsoil,eq,co,0
eqcrcr,eq,cr,0
eqcrcy,eq,cr,0
eqcrdt,eq,cr,0
eqcrst,eq,cr,0
eqcrvrg_geoid,eq,cr,0
eqcrvrgliq,eq,cr,0
eqcrvrgsoil,eq,cr,0
eqdecr,eq,de,0
eqdepc,eq,de,0
eqdest,eq,de,0
eqdevrg_geoid,eq,de,0
eqdevrgliq,eq,de,0
eqdevrgsoil,eq,de,0
eqeccr,eq,ec,0
eqecdt,eq,ec,0
eqecst,eq,ec,0
eqecvrg_geoid,eq,ec,0
eqecvrgliq,eq,ec,0
eqecvrgsoil,eq,ec,0
eqescr,eq,es,0
eqescy,eq,es,0
eqespc,eq,es,0
eqesst,eq,es,0
eqesvrg_geoid,eq,es,0
eqesvrgliq,eq,es,0
eqesvrgsoil,eq,es,0
eqfrcr,eq,fr,0
eqfrpc,eq,fr,0
eqfrvrg_geoid,eq,fr,0
eqfrvrgliq,eq,fr,0
eqfrvrgsoil,eq,fr,0
eqgbcr,eq,gb,0
eqgbpc,eq,gb,0
eqgbvrg_geoid,eq,gb,0
eqgbvrgliq,eq,gb,0
eqgbvrgsoil,eq,gb,0
eqgrcr,eq,gr,0
eqgrcy,eq,gr,0
eqgrdt,eq,gr,0
eqgrpc,eq,gr,0
eqgrst,eq,gr,0
eqgrvrg_geoid,eq,gr,0
eqgrvrgliq,eq,gr,0
eqgrvrgsoil,eq,gr,0
eqgtcr,eq,gt,0
eqgtdt,eq,gt,0
eqgtst,eq,gt,0
eqgtvrg_geoid,eq,gt,0
eqgtvrgliq,eq,gt,0
eqgtvrgsoil,eq,gt,0
eqguct,eq,gu,0
eqgucy,eq,gu,0
eqhkcy,eq,hk,0
eqhkvrg_geoid,eq,hk,0
eqhkvrgliq,eq,hk,0
eqhkvrgsoil,eq,hk,0
eqhncr,eq,hn,0
eqhndt,eq,hn,0
eqhnst,eq,hn,0
eqhnvrg_geoid,eq,hn,0
eqhnvrgliq,eq,hn,0
eqhnvrgsoil,eq,hn,0
eqhucr,eq,hu,0
eqhucy,eq,hu,0
eqhudt,eq,hu,0
eqhupc,eq,hu,0
eqhust,eq,hu,0
eqhuvrg_geoid,eq,hu,0
eqhuvrgliq,eq,hu,0
eqhuvrgsoil,eq,hu,0
eqidcr,eq,id,0
eqidcy,eq,id,0
eqiddt,eq,id,0
eqidpc,eq,id,0
eqidvrg_geoid,eq,id,0
eqidvrgland,eq,id,0
eqidvrgliq,eq,id,0
eqidvrgsoil,eq,id,0
eqiecr,eq,ie,0
eqiecy,eq,ie,0
eqiepc,eq,ie,0
eqievrg_geoid,eq,ie,0
eqievrgliq,eq,ie,0
eqievrgsoil,eq,ie,0
eqilcr,eq,il,0
eqilct,eq,il,0
eqilcy,eq,il,0
eqildt,eq,il,0
eqilpc,eq,il,0
eqincr,eq,in,INEQ
eqincy,eq,in,INEQ
eqindt,eq,in,INEQ
eqinpc,eq,in,INEQ
eqinst,eq,in,INEQ
eqinvrg_geoid,eq,in,INEQ
eqinvrgland,eq,in,INEQ
eqinvrgliq,eq,in,INEQ
eqinvrgsoil,eq,in,INEQ
eqitcr,eq,it,0
eqitcy,eq,it,0
eqitpc,eq,it,0
eqitst,eq,it,0
eqitvrg_geoid,eq,it,0
eqitvrgland,eq,it,0
eqitvrgliq,eq,it,0
eqitvrgsoil,eq,it,0
eqjpcr,eq,jp,JPEQ
eqjpct,eq,jp,JPEQ
eqjpst,eq,jp,JPEQ
eqjpvrg_geoid,eq,jp,JPEQ
eqjpvrgliq,eq,jp,JPEQ
eqjpvrgsoil,eq,jp,JPEQ
eqkrcr,eq,kr,KREQ
eqkrcy,eq,kr,KREQ
eqkrdt,eq,kr,KREQ
eqkrvrg_geoid,eq,kr,KREQ
eqkrvrgland,eq,kr,KREQ
eqkrvrgliq,eq,kr,KREQ
eqkrvrgsoil,eq,kr,KREQ
eqlicr,eq,li,0
eqlipc,eq,li,0
eqlivrg_geoid,eq,li,0
eqlivrgliq,eq,li,0
eqlivrgsoil,eq,li,0
eqlucr,eq,lu,0
eqlupc,eq,lu,0
eqluvrg_geoid,eq,lu,0
eqluvrgliq,eq,lu,0
eqluvrgsoil,eq,lu,0
eqmxcr,eq,mx,NAEQ
eqmxcy,eq,mx,NAEQ
eqmxdt,eq,mx,NAEQ
eqmxpc,eq,mx,NAEQ
eqmxvrg_geoid,eq,mx,NAEQ
eqmxvrgland,eq,mx,NAEQ
eqmxvrgliq,eq,mx,NAEQ
eqmxvrgsec,eq,mx,NAEQ
eqmxvrgsoil,eq,mx,NAEQ
eqmxvrgsoilperiod,eq,mx,NAEQ
eqmycr,eq,my,0
eqmycy,eq,my,0
eqmydt,eq,my,0
eqmypc,eq,my,0
eqmyvrg_geoid,eq,my,0
eqmyvrgland,eq,my,0
eqmyvrgliq,eq,my,0
eqmyvrgsoil,eq,my,0
eqnicr,eq,ni,0
eqnidt,eq,ni,0
eqnist,eq,ni,0
eqnivrg_geoid,eq,ni,0
eqnivrgliq,eq,ni,0
eqnivrgsoil,eq,ni,0
eqnlcr,eq,nl,0
eqnlpc,eq,nl,0
eqnlvrg_geoid,eq,nl,0
eqnlvrgliq,eq,nl,0
eqnlvrgsoil,eq,nl,0
eqnzcr,eq,nz,0
eqnzcy,eq,nz,0
eqnzpc,eq,nz,0
eqnzst,eq,nz,0
eqnzvrg_geoid,eq,nz,0
eqnzvrgfire,eq,nz,0
eqnzvrgliq,eq,nz,0
eqnzvrgsec,eq,nz,0
eqnzvrgsoil,eq,nz,0
eqpacr,eq,pa,0
eqpadt,eq,pa,0
eqpast,eq,pa,0
eqpavrg_geoid,eq,pa,0
eqpavrgliq,eq,pa,0
eqpavrgsoil,eq,pa,0
eqpecr,eq,pe,0
eqpedt,eq,pe,0
eqpest,eq,pe,0
eqpevrg_geoid,eq,pe,0
eqpevrgliq,eq,pe,0
eqpevrgsoil,eq,pe,0
eqphcr,eq,ph,0
eqphcy,eq,ph,0
eqphdt,eq,ph,0
eqphpc,eq,ph,0
eqphvrg_geoid,eq,ph,0
eqphvrgland,eq,ph,0
eqphvrgliq,eq,ph,0
eqphvrgsoil,eq,ph,0
eqptcr,eq,pt,0
eqptcy,eq,pt,0
eqptpc,eq,pt,0
eqptvrg_geoid,eq,pt,0
eqptvrgfire,eq,pt,0
eqptvrgland,eq,pt,0
eqptvrgliq,eq,pt,0
eqptvrgsoil,eq,pt,0
eqrocr,eq,ro,0
eqrocy,eq,ro,0
eqrolc,eq,ro,0
eqrost,eq,ro,0
eqrovrg_geoid,eq,ro,0
eqrovrgliq,eq,ro,0
eqrovrgsoil,eq,ro,0
eqrovrgsoilperiod,eq,ro,0
eqsgcr,eq,sg,0
eqsgcy,eq,sg,0
eqsgdt,eq,sg,0
eqsgvrg_geoid,eq,sg,0
eqsgvrgland,eq,sg,0
eqsgvrgliq,eq,sg,0
eqsgvrgsoil,eq,sg,0
eqsicr,eq,si,0
eqsicy,eq,si,0
eqsidt,eq,si,0
eqsipc,eq,si,0
eqsist,eq,si,0
eqsivrg_geoid,eq,si,0
eqsivrgliq,eq,si,0
eqsivrgsoil,eq,si,0
eqsvcr,eq,sv,0
eqsvdt,eq,sv,0
eqsvst,eq,sv,0
eqsvvrg_geoid,eq,sv,0
eqsvvrgliq,eq,sv,0
eqsvvrgsoil,eq,sv,0
eqthcr,eq,th,0
eqthcy,eq,th,0
eqthdt,eq,th,0
eqthpc,eq,th,0
eqthvrg_geoid,eq,th,0
eqthvrgland,eq,th,0
eqthvrgliq,eq,th,0
eqthvrgsoil,eq,th,0
eqtrcr,eq,tr,0
eqtrcy,eq,tr,0
eqtrdt,eq,tr,0
eqtrpc,eq,tr,0
eqtrst,eq,tr,0
eqtrvrg_geoid,eq,tr,0
eqtrvrgliq,eq,tr,0
eqtrvrgsoil,eq,tr,0
eqtwcr,eq,tw,0
eqtwct,eq,tw,0
eqtwcy,eq,tw,0
eqtwdt,eq,tw,0
eqtwpc,eq,tw,0
eqtwst,eq,tw,0
equscr,eq,us,NAEQ
equscy,eq,us,NAEQ
equspc,eq,us,NAEQ
equsvrg_geoid,eq,us,NAEQ
equsvrgfire,eq,us,NAEQ
equsvrgland,eq,us,NAEQ
equsvrgliq,eq,us,NAEQ
equsvrgsec,eq,us,NAEQ
equsvrgsoil,eq,us,NAEQ
equsvrgsoilperiod,eq,us,NAEQ
eqvecr,eq,ve,0
eqvedt,eq,ve,0
eqvest,eq,ve,0
eqvevrg_geoid,eq,ve,0
eqvevrgliq,eq,ve,0
eqvevrgsoil,eq,ve,0
eqvncr,eq,vn,0
eqvncy,eq,vn,0
eqvndt,eq,vn,0
eqvnpc,eq,vn,0
eqvnvrg_geoid,eq,vn,0
eqvnvrgland,eq,vn,0
eqvnvrgliq,eq,vn,0
eqvnvrgsoil,eq,vn,0
flbevrg_geoid,fl,be,0
flbevrgdist,fl,be,0
flbevrgelev,fl,be,0
fldefault,fl,de,0
frusvrg_geoid,fr,us,0
frusvrgwildfire,fr,us,0
huaupc,hu,au,0
huauvrg_geoid,hu,au,0
huauvrgdist,hu,au,0
huauvrgelev,hu,au,0
huauvrghubi,hu,au,0
huauvrgmanr,hu,au,0
huauvrgnatr,hu,au,0
hucbct,hu,cb,0
hucbpc,hu,cb,0
hucbvrg_geoid,hu,cb,0
hucbvrgdist,hu,cb,0
hucbvrgelev,hu,cb,0
hudefault,hu,de,0
hugbvrg_geoid,hu,gb,0
hugbvrgdist,hu,gb,0
hugbvrgelev,hu,gb,0
huguct,hu,gu,0
huhkct,hu,hk,0
huhkvrg_geoid,hu,hk,0
huhkvrgdist,hu,hk,0
huhkvrgelev,hu,hk,0
huhkvrghubi,hu,hk,0
huhkvrgmanr,hu,hk,0
huhkvrgnatr,hu,hk,0
hujpct,hu,jp,0
huuscy,hu,us,0
huuspc,hu,us,0
huusvrg_geoid,hu,us,0
huusvrgbldgelev,hu,us,0
huusvrgdist,hu,us,0
huusvrgelev,hu,us,0
huusvrghubi,hu,us,0
huusvrgmanr,hu,us,0
huusvrgnatr,hu,us,0
huusvrgnfiprate,hu,us,0
huw1cy,hu,w1,0
huw1vrg_geoid,hu,w1,0
huw1vrgdist,hu,w1,0
huw1vrgelev,hu,w1,0
